id,pp,name
125,20,Bone Club
126,5,Fire Blast
127,15,Waterfall
128,10,Clamp
129,20,Swift
130,15,Skull Bash
131,15,Spike Cannon
132,35,Constrict
133,20,Amnesia
134,15,Kinesis
135,10,Soft-Boiled
136,20,High Jump Kick
137,30,Glare
138,15,Dream Eater
139,40,Poison Gas
140,20,Barrage
141,15,Leech Life
142,10,Lovely Kiss
143,5,Sky Attack
144,10,Transform
145,30,Bubble
146,10,Dizzy Punch
147,15,Spore
148,20,Flash
149,15,Psywave
150,40,Splash
151,40,Acid Armor
152,10,Crabhammer
153,5,Explosion
154,15,Fury Swipes
155,10,Bonemerang
156,10,Rest
157,10,Rock Slide
158,15,Hyper Fang
159,30,Sharpen
160,30,Conversion
161,10,Tri Attack
162,10,Super Fang
163,20,Slash
164,10,Substitute
165,1,Struggle
166,1,Sketch
167,10,Triple Kick
168,10,Thief
169,10,Spider Web
170,5,Mind Reader
171,15,Nightmare
172,25,Flame Wheel
173,15,Snore
174,10,Curse
175,15,Flail
176,30,Conversion 2
177,5,Aeroblast
178,40,Cotton Spore
179,15,Reversal
180,10,Spite
181,25,Powder Snow
182,10,Protect
183,30,Mach Punch
184,10,Scary Face
185,20,Feint Attack
186,10,Sweet Kiss
187,10,Belly Drum
188,10,Sludge Bomb
189,10,Mud-Slap
190,10,Octazooka
191,20,Spikes
192,5,Zap Cannon
193,40,Foresight
194,5,Destiny Bond
195,5,Perish Song
196,15,Icy Wind
197,5,Detect
198,10,Bone Rush
199,5,Lock-On
200,15,Outrage
201,10,Sandstorm
202,5,Giga Drain
203,10,Endure
204,20,Charm
205,20,Rollout
206,40,False Swipe
207,15,Swagger
208,10,Milk Drink
209,20,Spark
210,20,Fury Cutter
211,25,Steel Wing
212,5,Mean Look
213,15,Attract
214,10,Sleep Talk
215,5,Heal Bell
216,20,Return
217,15,Present
218,20,Frustration
219,25,Safeguard
220,20,Pain Split
221,5,Sacred Fire
222,30,Magnitude
223,5,Dynamic Punch
224,10,Megahorn
225,20,Dragon Breath
226,40,Baton Pass
227,5,Encore
228,20,Pursuit
229,40,Rapid Spin
230,20,Sweet Scent
231,15,Iron Tail
232,35,Metal Claw
233,10,Vital Throw
234,5,Morning Sun
235,5,Synthesis
236,5,Moonlight
237,15,Hidden Power
238,5,Cross Chop
239,20,Twister
240,5,Rain Dance
241,5,Sunny Day
242,15,Crunch
243,20,Mirror Coat
244,10,Psych Up
245,5,Extreme Speed
246,5,Ancient Power
247,15,Shadow Ball
248,15,Future Sight
249,15,Rock Smash
250,15,Whirlpool
251,10,Beat Up
252,10,Fake Out
253,10,Uproar
254,10,Stockpile
255,10,Spit Up
256,10,Swallow
257,10,Heat Wave
258,10,Hail
259,15,Torment
260,15,Flatter
261,15,Will-O-Wisp
262,10,Memento
263,20,Facade
264,20,Focus Punch
265,10,Smelling Salts
266,20,Follow Me
267,20,Nature Power
268,20,Charge
269,20,Taunt
270,20,Helping Hand
271,10,Trick
272,10,Role Play
273,10,Wish
274,20,Assist
275,20,Ingrain
276,5,Superpower
277,15,Magic Coat
278,10,Recycle
279,10,Revenge
280,15,Brick Break
281,10,Yawn
282,20,Knock Off
283,5,Endeavor
284,5,Eruption
285,10,Skill Swap
286,10,Imprison
287,20,Refresh
288,5,Grudge
289,10,Snatch
290,20,Secret Power
291,10,Dive
292,20,Arm Thrust
293,20,Camouflage
294,20,Tail Glow
295,5,Luster Purge
296,5,Mist Ball
297,15,Feather Dance
298,20,Teeter Dance
299,10,Blaze Kick
300,15,Mud Sport
301,20,Ice Ball
302,15,Needle Arm
303,10,Slack Off
304,10,Hyper Voice
305,15,Poison Fang
306,10,Crush Claw
307,5,Blast Burn
308,5,Hydro Cannon
309,10,Meteor Mash
310,15,Astonish
311,10,Weather Ball
312,5,Aromatherapy
313,20,Fake Tears
314,25,Air Cutter
315,5,Overheat
316,40,Odor Sleuth
317,10,Rock Tomb
318,5,Silver Wind
319,40,Metal Sound
320,15,Grass Whistle
321,20,Tickle
322,20,Cosmic Power
323,5,Water Spout
324,15,Signal Beam
325,20,Shadow Punch
326,30,Extrasensory
327,15,Sky Uppercut
328,15,Sand Tomb
329,5,Sheer Cold
330,10,Muddy Water
331,30,Bullet Seed
332,20,Aerial Ace
333,30,Icicle Spear
334,15,Iron Defense
335,5,Block
336,40,Howl
337,15,Dragon Claw
338,5,Frenzy Plant
339,20,Bulk Up
340,5,Bounce
341,15,Mud Shot
342,25,Poison Tail
343,40,Covet
344,15,Volt Tackle
345,20,Magical Leaf
346,15,Water Sport
347,20,Calm Mind
348,15,Leaf Blade
349,20,Dragon Dance
350,10,Rock Blast
351,20,Shock Wave
352,20,Water Pulse
353,5,Doom Desire
354,5,Psycho Boost
